"Country","Year","CO"
"Slovenia","2014","105.48099999999999"
"Spain","2014","1661.287"
"Sweden","2014","437.65600000000001"
"Switzerland","2014","174.887"
"Turkey","2014","1958.5160000000001"
"United Kingdom","2014","1721.9480000000001"
"United States","2014","50040.25"
"OECD - Europe","2014","21434.350999999999"
"OECD - Total","2014","84405.42"
"Non-OECD Economies","2014","15517"
"Australia","2015","2777.0830000000001"
"Austria","2015","566.03599999999994"
"Belgium","2015","374.23099999999999"
"Canada","2015","5833.0529999999999"
"Czech Republic","2015","794.92"
"Denmark","2015","252.77099999999999"
"Estonia","2015","128.90299999999999"
"Finland","2015","335.40199999999999"
"France","2015","2676.4059999999999"
"Germany","2015","2844.8240000000001"
"Greece","2015","416.83699999999999"
"Hungary","2015","457.59699999999998"
"Iceland","2015","119.57899999999999"
"Ireland","2015","107.239"
"Italy","2015","2377.0100000000002"
"Japan","2015","2513.1680000000001"
"Latvia","2015","121.426"
"Lithuania","2015","146.191"
"Luxembourg","2015","20.837"
"Netherlands","2015","561.98800000000006"
"New Zealand","2015","710.20299999999997"
"Norway","2015","384.54300000000001"
"Poland","2015","2374.7159999999999"
"Portugal","2015","330.50700000000001"
"Slovak Republic","2015","247.40299999999999"
"Slovenia","2015","107.184"
"Spain","2015","1647.7719999999999"
"Sweden","2015","427.75900000000001"
"Switzerland","2015","165.95400000000001"
"Turkey","2015","2182.2649999999999"
"United Kingdom","2015","1685.5039999999999"
"United States","2015","49064.69"
"OECD - Europe","2015","21709.615000000002"
"OECD - Total","2015","83463.839999999997"
"Non-OECD Economies","2015","15531"
"Australia","2016","2708.174"
"Austria","2016","563.72299999999996"
"Belgium","2016","366.19600000000003"
"Canada","2016","5763.48"
"Czech Republic","2016","798.03"
"Denmark","2016","243.36099999999999"
"Estonia","2016","139.755"
"Finland","2016","339.62599999999998"
"France","2016","2731.9250000000002"
"Germany","2016","2858.252"
"Greece","2016","375.33199999999999"
"Hungary","2016","449.69400000000002"
"Iceland","2016","121.99299999999999"
"Ireland","2016","101.07299999999999"
"Italy","2016","2309.33"
"Japan","2016","2381.67"
"Latvia","2016","117.97"
"Lithuania","2016","144.76900000000001"
"Luxembourg","2016","21.806999999999999"
"Netherlands","2016","551.79399999999998"
"New Zealand","2016","724.99699999999996"
"Norway","2016","382.017"
"Poland","2016","2508.8420000000001"
"Portugal","2016","318.37299999999999"
"Slovak Republic","2016","240.33"
"Slovenia","2016","109.809"
"Spain","2016","1658.97"
"Sweden","2016","430.21600000000001"
"Switzerland","2016","160.93899999999999"
"Turkey","2016","2000.2840000000001"
"United Kingdom","2016","1531.4860000000001"
"United States","2016","46691.743000000002"
"OECD - Europe","2016","21431.126"
"OECD - Total","2016","80533.55"
"Non-OECD Economies","2016","15862"
